Question;BT_level
How are they different than most Tajiks?;Analysis
How does the distribution size of the leopard compare to the distribution of other wild cats?;Analysis
How is South China linguistically different from North China?;Analysis
What kind of features differentiate gray wolves from dogs?;Analysis
What's the difference between an Irish wedding and an Irish funeral?;Analysis
What's the difference between pink and purple?;Analysis
About how many square kilometers would be needed to house 3 female tigers?;Application
How do you draw a scatter plot?;Application
How do you make a tissue dance?;Application
How high could the homeless number possibly go?;Application
Why are harp guitars difficult to classify?;Application
Why should trees not be planted on the side of a building facing the equator?;Application
Can the title of this famous 1811 paper be roughly translated into English as ''Essay on determining the relative masses of the elementary molecules of bodies''?;Comprehension
Dukkha can be translated as what word in regards to unhappiness?;Comprehension
Dukkha is often translated as suffering, but the philosophical meaning of dukkha of more closely related to what term?;Comprehension
If an ant smells bad, what is it called?;Comprehension
The sociolinguistic situation of Arabic provides a prime example of what?;Comprehension
What do you call a dwarf with a birth defect, is broke and can't drink milk?;Comprehension
What includes a lengthy justification of why this species is listed as vulnerable?;Evaluation
Why is a second meter usually unnecessary to monitor electricity use?;Evaluation
Why is attachment to things futile?;Evaluation
Why is it hard to watch two elephants boxing?;Evaluation
Why is the long term liability sad?;Evaluation
Why polar bear is a special species?;Evaluation
Are turtles pets?;Knowledge
Garbage is what?;Knowledge
Is Egypt in Asia?;Knowledge
Is Ghana in Asia?;Knowledge
What are poes?;Knowledge
What are sardines?;Knowledge
What does REN do?;Knowledge
What is a roo?;Knowledge
What is Antwerp?;Knowledge
What is avidya?;Knowledge
What is Jakarta?;Knowledge
What is karma?;Knowledge
What is samsara?;Knowledge
What is Santiago?;Knowledge
What is the MRT?;Knowledge
What was 2016?;Knowledge
What's 11 & 2?;Knowledge
When did he die?;Knowledge
Who won the war?;Knowledge
Why did 10 die?;Knowledge
What can A/V cables be used to connect the iPod to?;Synthesis
What can be augmented with a fourth valve?;Synthesis
What can happen if people are exposed to antibiotics at a young age?;Synthesis
What cello manufacturer should i buy from if i want to play outside?;Synthesis
What’s the best way to stop a runaway horse?;Synthesis
What's the quickest way to a man's heart?;Synthesis
