ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
Abraham_Lincoln	was abraham lincoln the sixteenth president of the united states ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	was abraham lincoln the sixteenth president of the united states ?	yes.	easy	easy	S08_set3_a4
Abraham_Lincoln	did lincoln sign the national banking act of 1863 ?	yes	easy	medium	S08_set3_a4
Abraham_Lincoln	did lincoln sign the national banking act of 1863 ?	yes.	easy	easy	S08_set3_a4
Abraham_Lincoln	did his mother die of pneumonia ?	no	easy	medium	S08_set3_a4
Abraham_Lincoln	did his mother die of pneumonia ?	no.	easy	easy	S08_set3_a4
Abraham_Lincoln	how many long was lincoln 's formal education ?	18 months	medium	easy	S08_set3_a4
Abraham_Lincoln	how many long was lincoln 's formal education ?	18 months.	medium	medium	S08_set3_a4
Abraham_Lincoln	when did lincoln begin his political career ?	1832	medium	easy	S08_set3_a4
Abraham_Lincoln	when did lincoln begin his political career ?	1832.	medium	medium	S08_set3_a4
Abraham_Lincoln	what did the legal tender act of 1862 establish ?	the united states note , the first paper currency in united states history	medium	easy	S08_set3_a4
Abraham_Lincoln	what did the legal tender act of 1862 establish ?	the united states note , the first paper currency in united states history.	medium	medium	S08_set3_a4
Abraham_Lincoln	who suggested lincoln grow a beard ?	11-year-old grace bedell	hard	medium	S08_set3_a4
Abraham_Lincoln	who suggested lincoln grow a beard ?	grace bedell.	hard	medium	S08_set3_a4
Abraham_Lincoln	when did the gettysburg address argue that america was born ?	1776	hard	hard	S08_set3_a4
Abraham_Lincoln	when did the gettysburg address argue that america was born ?	1776.	hard	hard	S08_set3_a4
Abraham_Lincoln	did lincoln beat john c. breckinridge in the 1860 election ?	yes	hard	medium	S08_set3_a4
Abraham_Lincoln	did lincoln beat john c. breckinridge in the 1860 election ?	yes.	hard	hard	S08_set3_a4
Abraham_Lincoln	was abraham lincoln the first president of the united states ?	no	easy	easy	S08_set3_a4
Abraham_Lincoln	was abraham lincoln the first president of the united states ?	no	easy	medium	S08_set3_a4
Abraham_Lincoln	did lincoln start his political career in 1832 ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	did lincoln start his political career in 1832 ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	did lincoln ever represent alton & sangamon railroad ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	did lincoln ever represent alton & sangamon railroad ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	which county was lincoln born in ?	hardin county	medium	medium	S08_set3_a4
Abraham_Lincoln	which county was lincoln born in ?	southeast hardin county , kentucky	medium	medium	S08_set3_a4
Abraham_Lincoln	when did lincoln first serve as president ?	march 4 , 1861	medium	hard	S08_set3_a4
Abraham_Lincoln	when did lincoln first serve as president ?	march 4 , 1861	medium	medium	S08_set3_a4
Abraham_Lincoln	who assassinated lincoln ?	john wilkes booth	medium	hard	S08_set3_a4
Abraham_Lincoln	who assassinated lincoln ?	john wilkes booth	medium	hard	S08_set3_a4
Abraham_Lincoln	did lincoln win the election of 1860 ?	yes	hard	hard	S08_set3_a4
Abraham_Lincoln	did lincoln win the election of 1860 ?	yes	hard	too hard	S08_set3_a4
Abraham_Lincoln	who was the general in charge at the battle of antietam ?	general mcclellan	hard	medium	S08_set3_a4
Abraham_Lincoln	who was the general in charge at the battle of antietam ?	john alexander mcclernand	hard	medium	S08_set3_a4
Abraham_Lincoln	why did lincoln issue the emancipation proclamation ?	to free slaves	hard	hard	S08_set3_a4
Abraham_Lincoln	why did lincoln issue the emancipation proclamation ?	the goal was to weaken the rebellion , which was led and controlled by slave owners.	hard	hard	S08_set3_a4
Abraham_Lincoln	do scholars rank lincoln among the top three presidents ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	did lincoln have 18 months of schooling ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	was lincoln chosen as a presidential candidate in 1860 ?	yes	easy	easy	S08_set3_a4
Abraham_Lincoln	how old was lincoln in 1816 ?	seven	medium	medium	S08_set3_a4
Abraham_Lincoln	when was the first photgraph of lincoln taken ?	1846	medium	medium	S08_set3_a4
Abraham_Lincoln	how long was lincoln 's legal career ?	23 years	medium	medium	S08_set3_a4
Abraham_Lincoln	what trail did lincoln use a farmers ' almanac in ?	he defended william `` duff '' armstrong	hard	hard	S08_set3_a4
Abraham_Lincoln	did abraham lincoln live in the frontier ?	yes	hard	medium	S08_set3_a4
Abraham_Lincoln	did lincoln 's wife 's family support slavery ?	yes	hard	medium	S08_set3_a4
Amedeo_Avogadro	who is most noted for his contributions to the theory of molarity and molecular weight ?	amedeo avogadro		medium	S08_set4_a8
Amedeo_Avogadro	who graduated in ecclesiastical law at the early age of 20 and began to practice ?	amedeo avogadro		medium	S08_set4_a8
Amedeo_Avogadro	who graduated in ecclesiastical law at the early age of 20 and began to practice ?	blah		easy	S08_set4_a8
Amedeo_Avogadro	when did he publish another memoria ?	1821		medium	S08_set4_a8
Amedeo_Avogadro	when did he become a professor ?	1820		medium	S08_set4_a8
Amedeo_Avogadro	is it true that he became a professor in 1820 ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	was lorenzo romano amedeo carlo avogadro an italian savant ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	was amedeo avogadro born in turin august 9th 1776 to a noble ancient family of piedmont , italy ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	is he most noted for his contributions to the theory of molarity and molecular weight ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	was king victor emmanuel iii there to pay homage to avogadro ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	is avogadro 's number commonly used to compute the results of chemical reactions ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	did the scientific community not reserve great attention to his theory ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	was king victor emmanuel iii there to pay homage to avogadro ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	can the title of this famous 1811 paper be roughly translated into english ?	yes		easy	S08_set4_a8
Amedeo_Avogadro	what happened in 1833 ?	avogadro had been recalled to turin university		medium	S08_set4_a8
Amedeo_Avogadro	what happened in 1833 ?	blah blah blah		hard	S08_set4_a8
Anders_Celsius	who determined the dependence of the boiling of water with atmospheric pressure ?	anders celsius		medium	S08_set4_a5
Anders_Celsius	what is named after him ?	the celsius crater on the moon		medium	S08_set4_a5
Anders_Celsius	when did he publish a collection ?	1733		easy	S08_set4_a5
Anders_Celsius	is it true that he published a collection in 1738 ?	no		easy	S08_set4_a5
Anders_Celsius	is it true that thermometer had 100 for the freezing point ?	yes		easy	S08_set4_a5
Anders_Celsius	was celsius born in uppsala in sweden ?	yes		easy	S08_set4_a5
Anders_Celsius	was anders celsius ( november 27 , 1701 april 25 , 1744 ) a swedish astronomer ?	yes		easy	S08_set4_a5
Anders_Celsius	is the celsius crater on the moon named after him ?	yes		easy	S08_set4_a5
Anders_Celsius	who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?	anders celsius		medium	S08_set4_a5
Anders_Celsius	the celsius crater on the moon is what ?	named after him		medium	S08_set4_a5
Anders_Celsius	is the celsius crater on the moon named after him ?	yes		easy	S08_set4_a5
Anders_Celsius	had his thermometer 100 for the freezing point of water and 0 for the boiling point ?	yes it had		easy	S08_set4_a5
Anders_Celsius	was celsius born in uppsala in sweden ?	yes		easy	S08_set4_a5
Anders_Celsius	is the celsius crater on the moon named after him ?	yes		easy	S08_set4_a5
Anders_Celsius	did he not determine the dependence of the boiling of water with atmospheric pressure ( in excellent agreement with modern data ) ?	yes he did		easy	S08_set4_a5
Anders_Celsius	what happened from 1730 to 1744 ?	he was professor of astronomy at uppsala university		easy	S08_set4_a5
Anders_Celsius	what happened in 1745 ?	the scale was reversed		medium	S08_set4_a5
beetle	are beetles insects ?	yes	easy	easy	S08_set1_a8
beetle	are beetles insects ?	yes	easy	easy	S08_set1_a8
beetle	can beetles be found in polar regions ?	no	easy	hard	S08_set1_a8
beetle	can beetles be found in polar regions ?	no	easy	easy	S08_set1_a8
beetle	do beetles antennae function primarily as organs of smell ?	yes	easy	easy	S08_set1_a8
beetle	do beetles antennae function primarily as organs of smell ?	yes	easy	easy	S08_set1_a8
beetle	what are the three sections of a beetle ?	the head , the thorax , and the abdomen	medium	medium	S08_set1_a8
beetle	what are the three sections of a beetle ?	the head , the thorax , and the abdomen	medium	medium	S08_set1_a8
beetle	which defense mechanism uses colour or shape to deceive potential enemies ?	mimicry	medium	easy	S08_set1_a8
beetle	which defense mechanism uses colour or shape to deceive potential enemies ?	mimicry	medium	medium	S08_set1_a8
beetle	which type of beetle is a pest of potato plants ?	colorado potato beetle	medium	easy	S08_set1_a8
beetle	which type of beetle is a pest of potato plants ?	colorado potato beetle	medium	medium	S08_set1_a8
beetle	how can beetle larvae be differentiated from other insect larvae ?	their hardened , often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body	hard	medium	S08_set1_a8
beetle	how can beetle larvae be differentiated from other insect larvae ?	by their hardened , often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body	hard	medium	S08_set1_a8
beetle	what do beetles eat ?	some are generalists , eating both plants and animals. other beetles are highly specialised in their diet.	hard	hard	S08_set1_a8
beetle	what do beetles eat ?	they often feed on plants and fungi , break down animal and plant debris , and eat other invertebrates	hard	hard	S08_set1_a8
beetle	what are the similarities between beetles and grasshoppers ?	mouthparts	hard	medium	S08_set1_a8
beetle	what are the similarities between beetles and grasshoppers ?	beetles have mouthparts similar to those of grasshoppers	hard	hard	S08_set1_a8
beetle	are certain species of beetles considered pests ?	yes	easy	easy	S08_set1_a8
beetle	are certain species of beetles considered pests ?	yes	easy	easy	S08_set1_a8
beetle	is a beetle 's general anatomy uniform ?	yes	easy	medium	S08_set1_a8
beetle	is a beetle 's general anatomy uniform ?	yes	easy	easy	S08_set1_a8
beetle	are beetles endopterygotes ?	yes	easy	easy	S08_set1_a8
beetle	are beetles endopterygotes ?	yes	easy	easy	S08_set1_a8
beetle	how many species of beetles are there ?	350,000	medium	medium	S08_set1_a8
beetle	how many species of beetles are there ?	about 350,000	medium	medium	S08_set1_a8
beetle	when are sperm cells transferred to the female ?	during pairing	medium	hard	S08_set1_a8
beetle	when are sperm cells transferred to the female ?	during pairing	medium	medium	S08_set1_a8
beetle	what is the study of beetles called ?	coleopterology	medium	medium	S08_set1_a8
beetle	what is the study of beetles called ?	coleopterology	medium	medium	S08_set1_a8
beetle	is it possible that there are more than 350,000 species of beetles ?	yes	hard	hard	S08_set1_a8
beetle	is it possible that there are more than 350,000 species of beetles ?	yes	hard	hard	S08_set1_a8
beetle	is the adephaga suborder larger than the polyphaga suborder ?	no	hard	hard	S08_set1_a8
beetle	is the adephaga suborder larger than the polyphaga suborder ?	yes	hard	hard	S08_set1_a8
