;ArticleTitle;Question;Answer;DifficultyFromQuestioner;DifficultyFromAnswerer;ArticleFile;BT_Level
0;Abraham_Lincoln;was abraham lincoln the sixteenth president of the united states ?;yes;easy;easy;S08_set3_a4;Knowledge
1;Abraham_Lincoln;was abraham lincoln the sixteenth president of the united states ?;yes.;easy;easy;S08_set3_a4;Knowledge
2;Abraham_Lincoln;did lincoln sign the national banking act of 1863 ?;yes;easy;medium;S08_set3_a4;Knowledge
3;Abraham_Lincoln;did lincoln sign the national banking act of 1863 ?;yes.;easy;easy;S08_set3_a4;Knowledge
4;Abraham_Lincoln;did his mother die of pneumonia ?;no;easy;medium;S08_set3_a4;Synthesis
5;Abraham_Lincoln;did his mother die of pneumonia ?;no.;easy;easy;S08_set3_a4;Synthesis
6;Abraham_Lincoln;how many long was lincoln 's formal education ?;18 months;medium;easy;S08_set3_a4;Knowledge
7;Abraham_Lincoln;how many long was lincoln 's formal education ?;18 months.;medium;medium;S08_set3_a4;Knowledge
8;Abraham_Lincoln;when did lincoln begin his political career ?;1832;medium;easy;S08_set3_a4;Knowledge
9;Abraham_Lincoln;when did lincoln begin his political career ?;1832.;medium;medium;S08_set3_a4;Knowledge
10;Abraham_Lincoln;what did the legal tender act of 1862 establish ?;the united states note , the first paper currency in united states history;medium;easy;S08_set3_a4;Knowledge
11;Abraham_Lincoln;what did the legal tender act of 1862 establish ?;the united states note , the first paper currency in united states history.;medium;medium;S08_set3_a4;Knowledge
12;Abraham_Lincoln;who suggested lincoln grow a beard ?;11-year-old grace bedell;hard;medium;S08_set3_a4;Synthesis
13;Abraham_Lincoln;who suggested lincoln grow a beard ?;grace bedell.;hard;medium;S08_set3_a4;Synthesis
14;Abraham_Lincoln;when did the gettysburg address argue that america was born ?;1776;hard;hard;S08_set3_a4;Knowledge
15;Abraham_Lincoln;when did the gettysburg address argue that america was born ?;1776.;hard;hard;S08_set3_a4;Knowledge
16;Abraham_Lincoln;did lincoln beat john c. breckinridge in the 1860 election ?;yes;hard;medium;S08_set3_a4;Analysis
17;Abraham_Lincoln;did lincoln beat john c. breckinridge in the 1860 election ?;yes.;hard;hard;S08_set3_a4;Analysis
18;Abraham_Lincoln;was abraham lincoln the first president of the united states ?;no;easy;easy;S08_set3_a4;Knowledge
19;Abraham_Lincoln;was abraham lincoln the first president of the united states ?;no;easy;medium;S08_set3_a4;Knowledge
20;Abraham_Lincoln;did lincoln start his political career in 1832 ?;yes;easy;easy;S08_set3_a4;Comprehension
21;Abraham_Lincoln;did lincoln start his political career in 1832 ?;yes;easy;easy;S08_set3_a4;Comprehension
22;Abraham_Lincoln;did lincoln ever represent alton & sangamon railroad ?;yes;easy;easy;S08_set3_a4;Analysis
23;Abraham_Lincoln;did lincoln ever represent alton & sangamon railroad ?;yes;easy;easy;S08_set3_a4;Analysis
24;Abraham_Lincoln;which county was lincoln born in ?;hardin county;medium;medium;S08_set3_a4;Knowledge
25;Abraham_Lincoln;which county was lincoln born in ?;southeast hardin county , kentucky;medium;medium;S08_set3_a4;Knowledge
26;Abraham_Lincoln;when did lincoln first serve as president ?;march 4 , 1861;medium;hard;S08_set3_a4;Knowledge
27;Abraham_Lincoln;when did lincoln first serve as president ?;march 4 , 1861;medium;medium;S08_set3_a4;Knowledge
28;Abraham_Lincoln;who assassinated lincoln ?;john wilkes booth;medium;hard;S08_set3_a4;Knowledge
29;Abraham_Lincoln;who assassinated lincoln ?;john wilkes booth;medium;hard;S08_set3_a4;Knowledge
30;Abraham_Lincoln;did lincoln win the election of 1860 ?;yes;hard;hard;S08_set3_a4;Comprehension
31;Abraham_Lincoln;did lincoln win the election of 1860 ?;yes;hard;too hard;S08_set3_a4;Comprehension
32;Abraham_Lincoln;who was the general in charge at the battle of antietam ?;general mcclellan;hard;medium;S08_set3_a4;Knowledge
33;Abraham_Lincoln;who was the general in charge at the battle of antietam ?;john alexander mcclernand;hard;medium;S08_set3_a4;Knowledge
34;Abraham_Lincoln;why did lincoln issue the emancipation proclamation ?;to free slaves;hard;hard;S08_set3_a4;Comprehension
35;Abraham_Lincoln;why did lincoln issue the emancipation proclamation ?;the goal was to weaken the rebellion , which was led and controlled by slave owners.;hard;hard;S08_set3_a4;Comprehension
36;Abraham_Lincoln;do scholars rank lincoln among the top three presidents ?;yes;easy;easy;S08_set3_a4;Evaluation
37;Abraham_Lincoln;did lincoln have 18 months of schooling ?;yes;easy;easy;S08_set3_a4;Comprehension
38;Abraham_Lincoln;was lincoln chosen as a presidential candidate in 1860 ?;yes;easy;easy;S08_set3_a4;Synthesis
39;Abraham_Lincoln;how old was lincoln in 1816 ?;seven;medium;medium;S08_set3_a4;Knowledge
40;Abraham_Lincoln;when was the first photgraph of lincoln taken ?;1846;medium;medium;S08_set3_a4;Knowledge
41;Abraham_Lincoln;how long was lincoln 's legal career ?;23 years;medium;medium;S08_set3_a4;Knowledge
